編號類別,分類編號,檢查分類,分類名,原文內容,阻擋
E,E0113,Basic checker(基本檢查),invalid-star-assignment-target (E0113),Starred assignment target must be in a list or tuple Emitted when a star expression is used as a starred assignment target.,Y
E,E0111,Basic checker(基本檢查),bad-reversed-sequence (E0111),"The first reversed() argument is not a sequence Used when the first argument to reversed() builtin isn't a sequence (does not implement __reversed__, nor __getitem__ and __len__",Y
E,E0107,Basic checker(基本檢查),nonexistent-operator (E0107),"Use of the non-existent %s operator Used when you attempt to use the C-style pre-increment or pre-decrement operator -- and ++, which doesn't exist in Python.",Y
E,E0105,Basic checker(基本檢查),yield-outside-function (E0105),"Yield outside function Used when a ""yield"" statement is found outside a function or method.",Y
E,E0100,Basic checker(基本檢查),init-is-generator (E0100),__init__ method is a generator Used when the special class method __init__ is turned into a generator by a yield in its body.,Y
E,E0119,Basic checker(基本檢查),misplaced-format-function (E0119),"format function is not called on str Emitted when format function is not called on str object. e.g doing print(""value: {}"").format(123) instead of print(""value: {}"".format(123)). This might not be what the user intended to do.",Y
E,E0117,Basic checker(基本檢查),nonlocal-without-binding (E0117),nonlocal name %s found without binding Emitted when a nonlocal variable does not have an attached name somewhere in the parent scopes,Y
W,W0150,Basic checker(基本檢查),lost-exception (W0150),%s statement in finally block may swallow exception Used when a break or a return statement is found inside the finally clause of a try...finally block: the exceptions raised in the try clause will be silently swallowed instead of being re-raised.,
W,W0199,Basic checker(基本檢查),assert-on-tuple (W0199),"Assert called on a 2-tuple. Did you mean 'assert x,y'? A call of assert on a tuple will always evaluate to true if the tuple is not empty, and will always evaluate to false if it is.",
W,W0143,Basic checker(基本檢查),comparison-with-callable (W0143),"Comparing against a callable, did you omit the parenthesis? This message is emitted when pylint detects that a comparison with a callable was made, which might suggest that some parenthesis were omitted, resulting in potential unwanted behaviour.",
W,W0102,Basic checker(基本檢查),dangerous-default-value (W0102),Dangerous default value %s as argument Used when a mutable value as list or dictionary is detected in a default value for an argument.,
W,W0109,Basic checker(基本檢查),duplicate-key (W0109),Duplicate key %r in dictionary Used when a dictionary expression binds the same key multiple times.,
W,W0120,Basic checker(基本檢查),useless-else-on-loop (W0120),"Else clause on loop without a break statement Loops should only have an else clause if they can exit early with a break statement, otherwise the statements under else should be on the same scope as the loop itself.",
W,W0106,Basic checker(基本檢查),expression-not-assigned (W0106),"Expression ""%s"" is assigned to nothing Used when an expression that is not a function call is assigned to nothing. Probably something else was intended.",
W,W0124,Basic checker(基本檢查),confusing-with-statement (W0124),"Following ""as"" with another context manager looks like a tuple. Emitted when a with statement component returns multiple values and uses name binding with as only for a part of those values, as in with ctx() as a, b. This can be misleading, since it's not clear if the context manager returns a tuple or if the node without a name binding is another context manager.",
W,W0108,Basic checker(基本檢查),unnecessary-lambda (W0108),Lambda may not be necessary Used when the body of a lambda expression is a function call on the same argument list as the lambda itself; such lambda expressions are in all but a few cases replaceable with the function being called in the body of the lambda.,
W,W0111,Basic checker(基本檢查),assign-to-new-keyword (W0111),Name %s will become a keyword in Python %s Used when assignment will become invalid in future Python release due to introducing new keyword.,
W,W0104,Basic checker(基本檢查),pointless-statement (W0104),Statement seems to have no effect Used when a statement doesn't have (or at least seems to) any effect.,
W,W0105,Basic checker(基本檢查),pointless-string-statement (W0105)," String statement has no effect Used when a string is used as a statement (which of course has no effect). This is a particular case of W0104 with its own message so you can easily disable it if you're using those strings as documentation, instead of comments.",
W,W0107,Basic checker(基本檢查),unnecessary-pass (W0107),"Unnecessary pass statement Used when a ""pass"" statement that can be avoided is encountered.",
W,W0101,Basic checker(基本檢查),unreachable (W0101),"Unreachable code Used when there is some code behind a ""return"" or ""raise"" statement, which will never be accessed.",
W,W0123,Basic checker(基本檢查),eval-used (W0123),"Use of eval Used when you use the ""eval"" function, to discourage its usage. Consider using ast.literal_eval for safely evaluating strings containing Python expressions from untrusted sources.",
W,W0122,Basic checker(基本檢查),exec-used (W0122),"Use of exec Used when you use the ""exec"" statement (function for Python 3), to discourage its usage. That doesn't mean you cannot use it !",
W,W0125,Basic checker(基本檢查),using-constant-test (W0125),Using a conditional statement with a constant value Emitted when a conditional statement (If or ternary if) uses a constant value for its test. This might not be what the user intended to do.,
R,R0123,Basic checker(基本檢查),literal-comparison (R0123),"Comparison to literal Used when comparing an object to a literal, which is usually what you do not want to do, since you can compare to a different literal than what was expected altogether.",N
R,R0124,Basic checker(基本檢查),comparison-with-itself (R0124),Redundant comparison - %s Used when something is compared against itself.,Y
C,C0103,Basic checker(基本檢查),invalid-name (C0103),"%s name ""%s"" doesn't conform to %s Used when the name doesn't conform to naming rules associated to its type (constant, variable, class...).",Y
C,C0102,Basic checker(基本檢查),blacklisted-name (C0102),"Black listed name ""%s"" Used when the name is listed in the black list (unauthorized names).",Y
C,C0122,Basic checker(基本檢查),misplaced-comparison-constant (C0122),Comparison should be %s Used when the constant is placed on the left side of a comparison. It is usually clearer in intent to place it in the right hand side of the comparison.,Y
C,C0121,Basic checker(基本檢查),singleton-comparison (C0121),"Comparison to %s should be %s Used when an expression is compared to singleton values like True, False or None.",Y
C,C0113,Basic checker(基本檢查),unneeded-not (C0113),"Consider changing ""%s"" to ""%s"" Used when a boolean expression contains an unneeded negation.",N
C,C0112,Basic checker(基本檢查),empty-docstring (C0112),"Empty %s docstring Used when a module, function, class or method has an empty docstring (it would be too easy ;).",Y
C,C0111,Basic checker(基本檢查),missing-docstring (C0111),"Missing %s docstring Used when a module, function, class or method has no docstring.Some special methods like __init__ doesn't necessary require a docstring.",Y
C,C0123,Basic checker(基本檢查),unidiomatic-typecheck (C0123),"Using type() instead of isinstance() for a typecheck. The idiomatic way to perform an explicit typecheck in Python is to use isinstance(x, Y) rather than type(x) == Y, type(x) is Y. Though there are unusual situations where these give different results.",N
E,E0203,Classes checker,access-member-before-definition (E0203),Access to member %r before its definition line %s Used when an instance member is accessed before it's actually assigned.,Y
E,E0202,Classes checker,method-hidden (E0202),An attribute defined in %s line %s hides this method Used when a class defines a method which is hidden by an instance attribute from an ancestor class or set by some client code.,Y
E,E0237,Classes checker,assigning-non-slot (E0237),Assigning to attribute %r not defined in class slots Used when assigning to an attribute not defined in the class slots.,Y
E,E0241),Classes checker,"duplicate-bases (E0241)
",  Duplicate bases for class %r Used when a class has duplicate bases.,Y
E,E0240,Classes checker,inconsistent-mro (E0240),Inconsistent method resolution order for class %r Used when a class has an inconsistent method resolution order.,Y
E,E0239,Classes checker,inherit-non-class (E0239),"Inheriting %r, which is not a class. Used when a class inherits from something which is not a class.",Y
E,E0238,Classes checker,invalid-slots (E0238),"Invalid __slots__ object Used when an invalid __slots__ is found in class. Only a string, an iterable or a sequence is permitted.",Y
E,E0236,Classes checker,invalid-slots-object (E0236),"Invalid object %r in __slots__, must contain only non empty strings Used when an invalid (non-string) object occurs in __slots__.",Y
E,E0211,Classes checker,no-method-argument (E0211),Method has no argument Used when a method which should have the bound instance as first argument has no argument defined.,Y
E,E0213,Classes checker,no-self-argument (E0213),"Method should have ""self"" as first argument Used when a method has an attribute different the ""self"" as first argument. This is considered as an error since this is a so common convention that you shouldn't break it!",Y
E,E0302,Classes checker,unexpected-special-method-signature (E0302),"The special method %r expects %s param(s), %d %s given Emitted when a special method was defined with an invalid number of parameters. If it has too few or too many, it might not work at all.",Y
E,E0301,Classes checker,non-iterator-returned (E0301),__iter__ returns non-iterator Used when an __iter__ method returns something which is not an iterable (i.e. has no __next__ method),Y
E,E0303,Classes checker,invalid-length-returned (E0303),__len__ does not return non-negative integer Used when a __len__ method returns something which is not a non-negative integer,Y
W,W0212,Classes checker,protected-access (W0212),Access to a protected member %s of a client class Used when a protected member (i.e. class member with a name beginning with an underscore) is access outside the class or a descendant of the class where it's defined.,
W,W0201,Classes checker,attribute-defined-outside-init (W0201),Attribute %r defined outside __init__ Used when an instance attribute is defined outside the __init__ method.,
W,W0232,Classes checker,no-init (W0232),"Class has no __init__ method Used when a class has no __init__ method, neither its parent classes.",
W,W0223,Classes checker,abstract-method (W0223),Method %r is abstract in class %r but is not overridden Used when an abstract method (i.e. raise NotImplementedError) is not overridden in concrete class.,
W,W0221,Classes checker,arguments-differ (W0221),Parameters differ from %s %r method Used when a method has a different number of arguments than in the implemented interface or in an overridden method.,
W,W0222,Classes checker,signature-differs (W0222),Signature differs from %s %r method Used when a method signature is different than in the implemented interface or in an overridden method.,
W,W0211,Classes checker,bad-staticmethod-argument (W0211),"Static method with %r as first argument Used when a static method has ""self"" or a value specified in valid- classmethod-first-arg option or valid-metaclass-classmethod-first-arg option as first argument.",
W,W0235,Classes checker,useless-super-delegation (W0235),"Useless super delegation in method %r Used whenever we can detect that an overridden method is useless, relying on super() delegation to do the same thing as another method from the MRO.",
W,W0233,Classes checker,non-parent-init-called (W0233),__init__ method from a non direct base class %r is called Used when an __init__ method is called on a class which is not in the direct ancestors for the analysed class.,
W,W0231,Classes checker,super-init-not-called (W0231),__init__ method from base class %r is not called Used when an ancestor class method has an __init__ method which is not called by a derived class.,
R,R0205,Classes checker,useless-object-inheritance (R0205),"Class %r inherits from object, can be safely removed from bases in python3 Used when a class inherit from object, which under python3 is implicit, hence can be safely removed from bases.",N
R,R0202,Classes checker,no-classmethod-decorator (R0202),Consider using a decorator instead of calling classmethod Used when a class method is defined without using the decorator syntax.,N
R,R0203,Classes checker,no-staticmethod-decorator (R0203), Consider using a decorator instead of calling staticmethod Used when a static method is defined without using the decorator syntax.,N
R,R0201,Classes checker,no-self-use (R0201),"Method could be a function Used when a method doesn't use its bound instance, and so could be written as a function.",N
C,C0205,Classes checker,single-string-used-for-slots (C0205),"Class __slots__ should be a non-string iterable Used when a class __slots__ is a simple string, rather than an iterable.",N
C,C0202,Classes checker,bad-classmethod-argument (C0202),"Class method %s should have %s as first argument Used when a class method has a first argument named differently than the value specified in valid-classmethod-first-arg option (default to ""cls""), recommended to easily differentiate them from regular instance methods.",N
C,C0204,Classes checker,bad-mcs-classmethod-argument (C0204),"Metaclass class method %s should have %s as first argument Used when a metaclass class method has a first argument named differently than the value specified in valid-metaclass-classmethod-first-arg option (default to ""mcs""), recommended to easily differentiate them from regular instance methods.",N
C,C0203,Classes checker,bad-mcs-method-argument (C0203),"Metaclass method %s should have %s as first argument Used when a metaclass method has a first argument named differently than the value specified in valid-classmethod-first-arg option (default to ""cls""), recommended to easily differentiate them from regular instance methods.",N
F,F0202,Classes checker,method-check-failed (F0202),Unable to check methods signature (%s / %s) Used when Pylint has been unable to check methods signature compatibility for an unexpected reason. Please report this kind if you don't make sense of it.,
R,R0903,Design checker,too-few-public-methods (R0903),"Too few public methods (%s/%s) Used when class has too few public methods, so be sure it's really worth it.",N
R,R0901,Design checker,too-many-ancestors (R0901),"Too many ancestors (%s/%s) Used when class has too many parent classes, try to reduce this to get a simpler (and so easier to use) class.",N
R,R0913,Design checker,too-many-arguments (R0913),Too many arguments (%s/%s) Used when a function or method takes too many arguments.,N
R,R0916,Design checker,too-many-boolean-expressions (R0916),Too many boolean expressions in if statement (%s/%s) Used when an if statement contains too many boolean expressions.,Y
R,R0912,Design checker,too-many-branches (R0912),"Too many branches (%s/%s) Used when a function or method has too many branches, making it hard to follow.",N
R,R0902,Design checker,too-many-instance-attributes (R0902),"Too many instance attributes (%s/%s) Used when class has too many instance attributes, try to reduce this to get a simpler (and so easier to use) class.",N
R,R0914,Design checker,too-many-locals (R0914),Too many local variables (%s/%s) Used when a function or method has too many local variables.,N
R,R0904,Design checker,too-many-public-methods (R0904),"Too many public methods (%s/%s) Used when class has too many public methods, try to reduce this to get a simpler (and so easier to use) class.",N
R,R0911,Design checker,too-many-return-statements (R0911),"Too many return statements (%s/%s) Used when a function or method has too many return statement, making it hard to follow.",N
R,R0915,Design checker,too-many-statements (R0915),Too many statements (%s/%s) Used when a function or method has too many statements. You should then split it in smaller functions / methods.,N
E,E0701,Exceptions checker,bad-except-order (E0701),"Bad except clauses order (%s) Used when except clauses are not in the correct order (from the more specific to the more generic). If you don't fix the order, some exceptions may not be caught by the most specific handler.",Y
E,E0712,Exceptions checker,catching-non-exception (E0712),Catching an exception which doesn't inherit from Exception: %s Used when a class which doesn't inherit from Exception is used as an exception in an except clause.,Y
E,E0703,Exceptions checker,bad-exception-context (E0703),"Exception context set to something which is not an exception, nor None Used when using the syntax ""raise ... from ..."", where the exception context is not an exception, nor None.",Y
E,E0711,Exceptions checker,notimplemented-raised (E0711),NotImplemented raised - should raise NotImplementedError Used when NotImplemented is raised instead of NotImplementedError,Y
E,E0702,Exceptions checker,raising-bad-type (E0702),"Raising %s while only classes or instances are allowed Used when something which is neither a class, an instance or a string is raised (i.e. a TypeError will be raised).",Y
E,E0710,Exceptions checker,raising-non-exception (E0710),Raising a new style class which doesn't inherit from BaseException Used when a new style class which doesn't inherit from BaseException is raised.,Y
E,E0704,Exceptions checker,misplaced-bare-raise (E0704),"The raise statement is not inside an except clause Used when a bare raise is not used inside an except clause. This generates an error, since there are no active exceptions to be reraised. An exception to this rule is represented by a bare raise inside a finally clause, which might work, as long as an exception is raised inside the try block, but it is nevertheless a code smell that must not be relied upon.",Y
W,W0705,Exceptions checker,duplicate-except (W0705),Catching previously caught exception type %s Used when an except catches a type that was already caught by a previous handler.,Y
W,W0703,Exceptions checker,broad-except (W0703),"Catching too general exception %s Used when an except catches a too general exception, possibly burying unrelated errors.",
W,W0715,Exceptions checker,raising-format-tuple (W0715),"Exception arguments suggest string formatting might be intended Used when passing multiple arguments to an exception constructor, the first of them a string literal containing what appears to be placeholders intended for formatting",
W,W0711,Exceptions checker,binary-op-exception (W0711),"Exception to catch is the result of a binary ""%s"" operation Used when the exception to catch is of the form ""except A or B:"". If intending to catch multiple, rewrite as ""except (A, B):""",
W,W0702,Exceptions checker,bare-except (W0702),No exception type(s) specified Used when an except clause doesn't specify exceptions type to catch.,Y
W,W0706,Exceptions checker,try-except-raise (W0706),The except handler raises immediately Used when an except handler uses raise as its first or only operator. This is useless because it raises back the exception immediately. Remove the raise operator or the entire try-except-raise block!,
W,W0311,Format checker,bad-indentation (W0311),"Bad indentation. Found %s %s, expected %s Used when an unexpected number of indentation's tabulations or spaces has been found.",Y
W,W0312,Format checker,mixed-indentation (W0312),Found indentation with %ss instead of %ss Used when there are some mixed tabs and spaces in a module.,Y
W,W0301,Format checker,unnecessary-semicolon (W0301),"Unnecessary semicolon Used when a statement is ended by a semi-colon ("";""), which isn't necessary (that's python, not C ;).",Y
C,C0326,Format checker,bad-whitespace (C0326),"%s space %s %s %s Used when a wrong number of spaces is used around an operator, bracket or block opener.",Y
C,C0304,Format checker,missing-final-newline (C0304),Final newline missing Used when the last line in a file is missing a newline.,Y
C,C0301,Format checker,line-too-long (C0301),Line too long (%s/%s) Used when a line is longer than a given number of characters.,Y
C,C0327,Format checker,mixed-line-endings (C0327),Mixed line endings LF and CRLF Used when there are mixed (LF and CRLF) newline signs in a file.,Y
C,C0321,Format checker,multiple-statements (C0321),More than one statement on a single line Used when more than on statement are found on the same line.,Y
C,C0302,Format checker,too-many-lines (C0302),"Too many lines in module (%s/%s) Used when a module has too many lines, reducing its readability.",Y
C,C0305,Format checker,trailing-newlines (C0305),Trailing newlines Used when there are trailing blank lines in a file.,Y
C,C0303,Format checker,trailing-whitespace (C0303),Trailing whitespace Used when there is whitespace between the end of a line and the newline.,Y
C,C0328,Format checker,unexpected-line-ending-format (C0328),Unexpected line ending format. There is '%s' while it should be '%s'. Used when there is different newline than expected.,N
C,C0325,Format checker,superfluous-parens (C0325),"Unnecessary parens after %r keyword Used when a single item in parentheses follows an if, for, or other keyword.",N
C,C0330,Format checker,bad-continuation (C0330),Wrong %s indentation%s%s. TODO,Y
E,E0402,Imports checker,relative-beyond-top-level (E0402),Attempted relative import beyond top-level package Used when a relative import tries to access too many levels in the current package.,Y
E,E0401,Imports checker,import-error (E0401),Unable to import %s Used when pylint has been unable to import a module.,Y
W,W0406,Imports checker,import-self (W0406),Module import itself Used when a module is importing itself.,Y
W,W0404,Imports checker,reimported (W0404),Reimport %r (imported line %s) Used when a module is reimported multiple times.,Y
W,W0403,Imports checker,relative-import (W0403),"Relative import %r, should be %r Used when an import relative to the package directory is detected. This message can't be emitted when using Python >= 3.0.",
W,W0402,Imports checker,deprecated-module (W0402),Uses of a deprecated module %r Used a module marked as deprecated is imported.,
W,W0401,Imports checker,wildcard-import (W0401),Wildcard import %s Used when from module import * is detected.,
W,W0410,Imports checker,misplaced-future (W0410),__future__ import is not the first non docstring statement Python 2.5 and greater require __future__ import to be the first non docstring statement in the module.,
R,R0401,Imports checker,cyclic-import (R0401),Cyclic import (%s) Used when a cyclic import between two or more modules is detected.,Y
C,C0411,Imports checker,wrong-import-order (C0411),"%s should be placed before %s Used when PEP8 import order is not respected (standard imports first, then third-party libraries, then local imports)",N
C,C0413,Imports checker,wrong-import-position (C0413),"Import ""%s"" should be placed at the top of the module Used when code and imports are mixed",Y
C,C0414,Imports checker,useless-import-alias (C0414),Import alias does not rename original package Used when an import alias is same as original package.e.g using import numpy as numpy instead of import numpy as np,Y
C,C0412,Imports checker,ungrouped-imports (C0412),Imports from package %s are not grouped Used when imports are not grouped by packages,Y
C,C0410,Imports checker,multiple-imports (C0410),Multiple imports on one line (%s) Used when import statement importing multiple modules is detected.,Y
E,E1133,Iterable Check,not-an-iterable (E1133),Non-iterable value %s is used in an iterating context Used when a non-iterable value is used in place where iterable is expected,Y
E,E1134,Iterable Check,not-a-mapping (E1134),Non-mapping value %s is used in a mapping context Used when a non-mapping value is used in place where mapping is expected,Y
C,C1801,Len checker,len-as-condition (C1801),"Do not use `len(SEQUENCE)` to determine if a sequence is empty Used when Pylint detects that len(sequence) is being used inside a condition to determine if a sequence is empty. Instead of comparing the length to 0, rely on the fact that empty sequences are false.",Y
E,E1201,Logging checker,logging-format-truncated (E1201),Format style used to check logging format string.Default: %,Y
E,E1206,Logging checker,logging-too-few-args (E1206),Logging format string ends in middle of conversion specifier Used when a logging statement format string terminates before the end of a conversion specifier.,Y
E,E1205,Logging checker,logging-too-many-args (E1205),Not enough arguments for logging format string Used when a logging format string is given too few arguments.,Y
E,E1200,Logging checker,logging-unsupported-format (E1200),Too many arguments for logging format string Used when a logging format string is given too many arguments.,Y
W,W1201,Logging checker,logging-not-lazy (W1201),Unsupported logging format character %r (%#02x) at index %d Used when an unsupported format character is used in a logging statement format string.,
W,W1202,Logging checker,logging-format-interpolation (W1202),"Specify string format arguments as logging function parameters Used when a logging statement has a call form of ""logging.<logging method>(format_string % (format_args...))"". Such calls should leave string interpolation to the logging method itself and be written ""logging.<logging method>(format_string, format_args...)"" so that the program may avoid incurring the cost of the interpolation in those cases in which no message will be logged. For more, see http://www.python.org/dev/peps/pep-0282/.",
W,W1203,Logging checker,logging-fstring-interpolation (W1203),"Use % formatting in logging functions and pass the % parameters as arguments Used when a logging statement has a call form of ""logging.<logging method>(format_string.format(format_args...))"". Such calls should use % formatting instead, but leave interpolation to the logging function by passing the parameters as arguments.",
W,W0512,Logging checker,invalid-encoded-data (W0512),"Cannot decode using encoding ""%s"", unexpected byte at position %d Used when a source line cannot be decoded using the specified source file encoding. This message can't be emitted when using Python >= 3.0.",
W,W0511,Miscellaneous checker,fixme (W0511),Used when a warning note as FIXME or XXX is detected.,
W,W0512,Miscellaneous checker,invalid-encoded-data (W0512),"Cannot decode using encoding ""%s"", unexpected byte at position %d Used when a source line cannot be decoded using the specified source file encoding. This message can't be emitted when using Python >= 3.0.",
I,I0023,Miscellaneous checker,use-symbolic-message-instead (I0023),Used when a message is enabled or disabled by id.,
E,E1003,Newstyle checker,bad-super-call (E1003),Bad first argument %r given to super() Used when another argument than the current class is given as first argument of the super builtin.,Y
E,E1004,Newstyle checker,missing-super-argument (E1004),Missing argument to super() Used when the super builtin didn't receive an argument. This message can't be emitted when using Python >= 3.0.,Y
E,E1603,Python3 checker,unpacking-in-except (E1603),Implicit unpacking of exceptions is not supported in Python 3 Python3 will not allow implicit unpacking of exceptions in except clauses. See http://www.python.org/dev/peps/pep-3110/,Y
E,E1609,Python3 checker,import-star-module-level (E1609),Import * only allowed at module level Used when the import star syntax is used somewhere else than the module level. This message can't be emitted when using Python >= 3.0.,Y
E,E1610,Python3 checker,non-ascii-bytes-literal (E1610),Non-ascii bytes literals not supported in 3.x Used when non-ascii bytes literals are found in a program. They are no longer supported in Python 3. This message can't be emitted when using Python >= 3.0.,Y
E,E1602,Python3 checker,parameter-unpacking (E1602),Parameter unpacking specified Used when parameter unpacking is specified for a function(Python 3 doesn't allow it),Y
E,E1606,Python3 checker,long-suffix (E1606),"Use of long suffix Used when ""l"" or ""L"" is used to mark a long integer. This will not work in Python 3, since int and long types have merged. This message can't be emitted when using Python >= 3.0.",Y
E,E1608,Python3 checker,old-octal-literal (E1608),"Use of old octal literal Used when encountering the old octal syntax, removed in Python 3. To use the new syntax, prepend 0o on the number. This message can't be emitted when using Python >= 3.0.",Y
E,E1607,Python3 checker,old-ne-operator (E1607),"Use of the <> operator Used when the deprecated ""<>"" operator is used instead of ""!="". This is removed in Python 3. This message can't be emitted when using Python >= 3.0.",Y
E,E1605,Python3 checker,backtick (E1605),"Use of the `` operator Used when the deprecated ""``"" (backtick) operator is used instead of the str() function.",Y
E,E1604,Python3 checker,old-raise-syntax (E1604),"Use raise ErrorClass(args) instead of raise ErrorClass, args. Used when the alternate raise syntax 'raise foo, bar' is used instead of 'raise foo(bar)'.",Y
E,E1601,Python3 checker,print-statement (E1601),print statement used Used when a print statement is used (print is a function in Python 3),Y
W,W1652,Python3 checker,deprecated-types-field (W1652),Accessing a deprecated fields on the types module Used when accessing a field on types that has been removed in Python 3.,
W,W1651,Python3 checker,deprecated-itertools-function (W1651),Accessing a deprecated function on the itertools module Used when accessing a function on itertools that has been removed in Python 3.,
W,W1649,Python3 checker,deprecated-string-function (W1649),Accessing a deprecated function on the string module Used when accessing a string function that has been deprecated in Python 3.,
W,W1657,Python3 checker,deprecated-operator-function (W1657),Accessing a removed attribute on the operator module Used when accessing a field on operator module that has been removed in Python 3.,
W,W1660,Python3 checker,deprecated-sys-function (W1660),Accessing a removed attribute on the sys module Used when accessing a field on sys module that has been removed in Python 3.,
W,W1658,Python3 checker,deprecated-urllib-function (W1658),Accessing a removed attribute on the urllib module Used when accessing a field on urllib module that has been removed or moved in Python 3.,
W,W1659,Python3 checker,xreadlines-attribute (W1659),"Accessing a removed xreadlines attribute Used when accessing the xreadlines() function on a file stream, removed in Python 3.",
W,W1623,Python3 checker,metaclass-assignment (W1623),Assigning to a class's __metaclass__ attribute Used when a metaclass is specified by assigning to __metaclass__ (Python 3 specifies the metaclass as a class statement argument),
W,W1622,Python3 checker,next-method-called (W1622),Called a next() method on an object Used when an object's next() method is called (Python 3 uses the next() built- in function),
W,W1620,Python3 checker,dict-iter-method (W1620),"Calling a dict.iter*() method Used for calls to dict.iterkeys(), itervalues() or iteritems() (Python 3 lacks these methods)",
W,W1621,Python3 checker,dict-view-method (W1621),"Calling a dict.view*() method Used for calls to dict.viewkeys(), viewvalues() or viewitems() (Python 3 lacks these methods)",
W,W1645,Python3 checker,exception-message-attribute (W1645),Exception.message removed in Python 3 Used when the message attribute is accessed on an Exception. Use str(exception) instead.,
W,W1641,Python3 checker,eq-without-hash (W1641),"Implementing __eq__ without also implementing __hash__ Used when a class implements __eq__ but not __hash__. In Python 2, objects get object.__hash__ as the default implementation, in Python 3 objects get None as their default __hash__ implementation if they also implement __eq__.",
W,W1624,Python3 checker,indexing-exception (W1624),Indexing exceptions will not work on Python 3 Indexing exceptions will not work on Python 3. Use exception.args[index] instead.,
W,W1648,Python3 checker,bad-python3-import (W1648),Module moved in Python 3 Used when importing a module that no longer exists in Python 3.,
W,W1625,Python3 checker,raising-string (W1625),Raising a string exception Used when a string exception is raised. This will not work on Python 3.,
W,W1611,Python3 checker,standarderror-builtin (W1611),StandardError built-in referenced Used when the StandardError built-in function is referenced (missing from Python 3),
W,W1662,Python3 checker,comprehension-escape (W1662),"Using a variable that was bound inside a comprehension Emitted when using a variable, that was bound in a comprehension handler, outside of the comprehension itself. On Python 3 these variables will be deleted outside of the comprehension.",N
W,W1661,Python3 checker,exception-escape (W1661),"Using an exception object that was bound by an except handler Emitted when using an exception, that was bound in an except handler, outside of the except handler. On Python 3 these exceptions will be deleted once they get out of the except handler.",
W,W1650,Python3 checker,deprecated-str-translate-call (W1650),Using str.translate with deprecated deletechars parameters Used when using the deprecated deletechars parameters from str.translate. Use re.sub to remove the desired characters,
W,W1640,Python3 checker,using-cmp-argument (W1640),"Using the cmp argument for list.sort / sorted Using the cmp argument for list.sort or the sorted builtin should be avoided, since it was removed in Python 3. Using either key or functools.cmp_to_key should be preferred.",
W,W1630,Python3 checker,cmp-method (W1630),__cmp__ method defined Used when a __cmp__ method is defined (method is not used by Python 3),
W,W1614,Python3 checker,coerce-method (W1614),__coerce__ method defined Used when a __coerce__ method is defined (method is not used by Python 3),
W,W1615,Python3 checker,delslice-method (W1615),__delslice__ method defined Used when a __delslice__ method is defined (method is not used by Python 3),
W,W1642,Python3 checker,div-method (W1642),__div__ method defined Used when a __div__ method is defined. Using __truediv__ and setting__div__ = __truediv__ should be preferred.(method is not used by Python 3),
W,W1616,Python3 checker,getslice-method (W1616),__getslice__ method defined Used when a __getslice__ method is defined (method is not used by Python 3),
W,W1628,Python3 checker,hex-method (W1628),__hex__ method defined Used when a __hex__ method is defined (method is not used by Python 3),
